"code","quality","template","shape_6_to_1","theory","omitted","errors","ergonomic_review","representative_status"
"C#m7b5","minor","a-half-diminished","x-4-5-4-5-x","C# E G B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#dim7","dim","a-diminished-seven","x-4-5-3-5-x","C# E G Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D5","major","a-power","x-5-7-7-x-x","D A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D11","major","full-e11","10-10-10-11-10-12","D F# A C E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D13","major","a13","x-5-4-5-5-7","D F# A C E G B","A G","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dadd2","major","c-add2","x-5-2-2-3-2","D E F# A","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dadd11","major","c-add11","x-5-5-2-3-2","D F# A G","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dmaj11","major","full-emaj11","10-10-11-11-10-12","D F# A C# E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dmaj13","major","full-emaj13","10-12-11-11-12-12","D F# A C# E G B","G","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D7b5","major","a-seven-flat-five","x-5-6-5-7-x","D F# Ab C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D7#5","major","a-seven-sharp-five","x-5-8-5-7-x","D F# A# C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D7b9","major","a-seven-flat-nine","x-5-4-5-4-5","D F# A C Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D7#9","major","a-seven-sharp-nine","x-5-4-5-6-5","D F# A C E#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D6/9","major","a-six-nine","x-5-4-4-5-5","D F# A B E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dm11","minor","full-em11","10-10-10-10-10-12","D F A C E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dm13","minor","am13","x-5-3-5-5-7","D F A C E G B","A G","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Dm7b5","minor","a-half-diminished","x-5-6-5-6-x","D F Ab C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Ddim7","dim","a-diminished-seven","x-5-6-4-6-x","D F Ab Cb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#5","major","a-power","x-6-8-8-x-x","D# A#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#11","major","full-e11","11-11-11-12-11-13","D# F## A# C# E# G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#13","major","a13","x-6-5-6-6-8","D# F## A# C# E# G# B#","A# G#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#add2","major","c-add2","x-6-3-3-4-3","D# E# F## A#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#add11","major","c-add11","x-6-6-3-4-3","D# F## A# G#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#maj11","major","full-emaj11","11-11-12-12-11-13","D# F## A# C## E# G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#maj13","major","full-emaj13","11-13-12-12-13-13","D# F## A# C## E# G# B#","G#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#7b5","major","a-seven-flat-five","x-6-7-6-8-x","D# F## A C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#7#5","major","a-seven-sharp-five","x-6-9-6-8-x","D# F## A## C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#7b9","major","a-seven-flat-nine","x-6-5-6-5-6","D# F## A# C# E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#7#9","major","a-seven-sharp-nine","x-6-5-6-7-6","D# F## A# C# E##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#6/9","major","a-six-nine","x-6-5-5-6-6","D# F## A# B# E#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#m11","minor","full-em11","11-11-11-11-11-13","D# F# A# C# E# G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#m13","minor","am13","x-6-4-6-6-8","D# F# A# C# E# G# B#","A# G#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#m7b5","minor","a-half-diminished","x-6-7-6-7-x","D# F# A C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"D#dim7","dim","a-diminished-seven","x-6-7-5-7-x","D# F# A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E5","major","e-power","0-2-2-x-x-x","E B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E11","major","full-e11","0-0-0-1-0-2","E G# B D F# A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E13","major","full-e13","0-2-0-1-2-2","E G# B D F# A C#","A","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eadd2","major","c-add2","x-7-4-4-5-4","E F# G# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Eadd11","major","e-add11","0-0-2-1-0-0","E G# B A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Emaj11","major","full-emaj11","0-0-1-1-0-2","E G# B D# F# A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Emaj13","major","full-emaj13","0-2-1-1-2-2","E G# B D# F# A C#","A","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E7b5","major","a-seven-flat-five","x-7-8-7-9-x","E G# Bb D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E7#5","major","e-seven-sharp-five","0-x-0-1-1-0","E G# B# D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E7b9","major","e-seven-flat-nine","0-2-0-1-0-1","E G# B D F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E7#9","major","e-seven-sharp-nine","0-2-0-1-3-3","E G# B D F##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"E6/9","major","a-six-nine","x-7-6-6-7-7","E G# B C# F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Em11","minor","full-em11","0-0-0-0-0-2","E G B D F# A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Em13","minor","full-em13","0-2-0-0-2-2","E G B D F# A C#","A","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Em7b5","minor","a-half-diminished","x-7-8-7-8-x","E G Bb D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Edim7","dim","a-diminished-seven","x-7-8-6-8-x","E G Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F5","major","e-power","1-3-3-x-x-x","F C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F11","major","full-e11","1-1-1-2-1-3","F A C Eb G Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F13","major","full-e13","1-3-1-2-3-3","F A C Eb G Bb D","Bb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fadd2","major","c-add2","x-8-5-5-6-5","F G A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fadd11","major","e-add11","1-1-3-2-1-1","F A C Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fmaj11","major","full-emaj11","1-1-2-2-1-3","F A C E G Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fmaj13","major","full-emaj13","1-3-2-2-3-3","F A C E G Bb D","Bb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F7b5","major","e-seven-flat-five","1-x-1-2-0-x","F A Cb Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F7#5","major","e-seven-sharp-five","1-x-1-2-2-1","F A C# Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F7b9","major","e-seven-flat-nine","1-3-1-2-1-2","F A C Eb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F7#9","major","e-seven-sharp-nine","1-3-1-2-4-4","F A C Eb G#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F6/9","major","e-six-nine","1-0-0-0-1-x","F A C D G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fm11","minor","full-em11","1-1-1-1-1-3","F Ab C Eb G Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fm13","minor","full-em13","1-3-1-1-3-3","F Ab C Eb G Bb D","Bb","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fm7b5","minor","e-half-diminished","1-x-1-1-0-x","F Ab Cb Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Fdim7","dim","e-diminished-seven","1-x-0-1-0-x","F Ab Cb Ebb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#5","major","e-power","2-4-4-x-x-x","F# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#11","major","full-e11","2-2-2-3-2-4","F# A# C# E G# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#13","major","full-e13","2-4-2-3-4-4","F# A# C# E G# B D#","B","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#add2","major","c-add2","x-9-6-6-7-6","F# G# A# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#add11","major","e-add11","2-2-4-3-2-2","F# A# C# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#maj11","major","full-emaj11","2-2-3-3-2-4","F# A# C# E# G# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#maj13","major","full-emaj13","2-4-3-3-4-4","F# A# C# E# G# B D#","B","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#7b5","major","e-seven-flat-five","2-x-2-3-1-x","F# A# C E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#7#5","major","e-seven-sharp-five","2-x-2-3-3-2","F# A# C## E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#7b9","major","e-seven-flat-nine","2-4-2-3-2-3","F# A# C# E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#7#9","major","e-seven-sharp-nine","2-4-2-3-5-5","F# A# C# E G##","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#6/9","major","e-six-nine","2-1-1-1-2-x","F# A# C# D# G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#m11","minor","full-em11","2-2-2-2-2-4","F# A C# E G# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#m13","minor","full-em13","2-4-2-2-4-4","F# A C# E G# B D#","B","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#m7b5","minor","e-half-diminished","2-x-2-2-1-x","F# A C E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"F#dim7","dim","e-diminished-seven","2-x-1-2-1-x","F# A C Eb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G5","major","e-power","3-5-5-x-x-x","G D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G11","major","full-e11","3-3-3-4-3-5","G B D F A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G13","major","full-e13","3-5-3-4-5-5","G B D F A C E","C","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gadd2","major","g-add2","3-0-0-0-0-3","G A B D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gadd11","major","e-add11","3-3-5-4-3-3","G B D C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gmaj11","major","full-emaj11","3-3-4-4-3-5","G B D F# A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gmaj13","major","full-emaj13","3-5-4-4-5-5","G B D F# A C E","C","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G7b5","major","e-seven-flat-five","3-x-3-4-2-x","G B Db F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G7#5","major","e-seven-sharp-five","3-x-3-4-4-3","G B D# F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G7b9","major","e-seven-flat-nine","3-5-3-4-3-4","G B D F Ab","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G7#9","major","e-seven-sharp-nine","3-5-3-4-6-6","G B D F A#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G6/9","major","e-six-nine","3-2-2-2-3-x","G B D E A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gm11","minor","full-em11","3-3-3-3-3-5","G Bb D F A C","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gm13","minor","full-em13","3-5-3-3-5-5","G Bb D F A C E","C","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gm7b5","minor","e-half-diminished","3-x-3-3-2-x","G Bb Db F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Gdim7","dim","e-diminished-seven","3-x-2-3-2-x","G Bb Db Fb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#5","major","e-power","4-6-6-x-x-x","G# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#11","major","full-e11","4-4-4-5-4-6","G# B# D# F# A# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#13","major","full-e13","4-6-4-5-6-6","G# B# D# F# A# C# E#","C#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#add2","major","g-add2","4-1-1-1-1-4","G# A# B# D#","","","low-position-span-at-least-three-review;outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#add11","major","e-add11","4-4-6-5-4-4","G# B# D# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#maj11","major","full-emaj11","4-4-5-5-4-6","G# B# D# F## A# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#maj13","major","full-emaj13","4-6-5-5-6-6","G# B# D# F## A# C# E#","C#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#7b5","major","e-seven-flat-five","4-x-4-5-3-x","G# B# D F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#7#5","major","e-seven-sharp-five","4-x-4-5-5-4","G# B# D## F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#7b9","major","e-seven-flat-nine","4-6-4-5-4-5","G# B# D# F# A","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#7#9","major","e-seven-sharp-nine","4-6-4-5-7-7","G# B# D# F# A##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#6/9","major","e-six-nine","4-3-3-3-4-x","G# B# D# E# A#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#m11","minor","full-em11","4-4-4-4-4-6","G# B D# F# A# C#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#m13","minor","full-em13","4-6-4-4-6-6","G# B D# F# A# C# E#","C#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#m7b5","minor","e-half-diminished","4-x-4-4-3-x","G# B D F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"G#dim7","dim","e-diminished-seven","4-x-3-4-3-x","G# B D F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A5","major","a-power","x-0-2-2-x-x","A E","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A11","major","full-e11","5-5-5-6-5-7","A C# E G B D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A13","major","full-e13","5-7-5-6-7-7","A C# E G B D F#","D","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Aadd2","major","g-add2","5-2-2-2-2-5","A B C# E","","","low-position-span-at-least-three-review;outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Aadd11","major","e-add11","5-5-7-6-5-5","A C# E D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Amaj11","major","full-emaj11","5-5-6-6-5-7","A C# E G# B D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Amaj13","major","full-emaj13","5-7-6-6-7-7","A C# E G# B D F#","D","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A7b5","major","a-seven-flat-five","x-0-1-0-2-x","A C# Eb G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A7#5","major","a-seven-sharp-five","x-0-3-0-2-x","A C# E# G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A7b9","major","e-seven-flat-nine","5-7-5-6-5-6","A C# E G Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A7#9","major","e-seven-sharp-nine","5-7-5-6-8-8","A C# E G B#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A6/9","major","e-six-nine","5-4-4-4-5-x","A C# E F# B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Am11","minor","full-em11","5-5-5-5-5-7","A C E G B D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Am13","minor","full-em13","5-7-5-5-7-7","A C E G B D F#","D","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Am7b5","minor","a-half-diminished","x-0-1-0-1-x","A C Eb G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Adim7","dim","e-diminished-seven","5-x-4-5-4-x","A C Eb Gb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#5","major","a-power","x-1-3-3-x-x","A# E#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#11","major","full-e11","6-6-6-7-6-8","A# C## E# G# B# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#13","major","a13","x-1-0-1-1-3","A# C## E# G# B# D# F##","E# D#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"A#add2","major","g-add2","6-3-3-3-3-6","A# B# C## E#","","","low-position-span-at-least-three-review;outer-strings-high-fret-with-interior-low-grip-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
